Observer	STREET	TB_number (in the street)	DATE	Real name of the street	TB_tree	TB_soil/grill	TB_taxa
CESCO	RBER	82	13/05/14	rue de Bercy	Tilia sp.	grill	Geranium robertianum
CESCO	RBER	68	13/05/14	rue de Bercy	Tilia sp.	grill	Geranium rotundifolium
CESCO	RBER	88	13/05/14	rue de Bercy	Tilia sp.	grill	Geranium rotundifolium
CESCO	RBER	99	13/05/14	rue de Bercy	Tilia sp.	grill	Geranium rotundifolium
CESCO	RBER	57	13/05/14	rue de Bercy	Tilia sp.	grill	Geum urbanum
CESCO	POMM	9	13/05/14	rue de Pommard	Tilia sp.	grill	Hordeum murinum
CESCO	POMM	17	13/05/14	rue de Pommard	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	1	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	2	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	4	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	9	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	10	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	12	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	17	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	39	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	59	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	102	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	110	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	118	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	124	13/05/14	rue de Bercy	Tilia sp.	grill	Hordeum murinum
CESCO	RBER	98	13/05/14	rue de Bercy	Tilia sp.	grill	Hypochaeris radicata
CESCO	RBER	66	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca muralis
CESCO	RBER	76	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca muralis
