PA_voie;PA_numérobis;COORD_X;COORD_Y
DAUM;49;603372.833334;127053.795784
DAUM;50;603368.463085;127057.042255
DAUM;51;603364.217700;127060.038997
DAUM;52;603359.847451;127063.410332
DAUM;53;603351.481546;127069.653545
DAUM;54;603343.240505;127075.522165
DAUM;55;603336.872428;127080.017279
DAUM;56;603330.754079;127084.762120
DAUM;57;603325.759509;127088.508048
DAUM;58;603301.660707;127105.739316
DAUM;59;603297.540186;127108.486329
DAUM;60;603288.300231;127115.603592
DAUM;61;603278.685683;127122.471126
DAUM;62;603269.071136;127129.588389
DAUM;63;603264.326294;127132.959724
DAUM;64;603259.706316;127136.331059
DAUM;65;603255.086339;127139.577530
DAUM;66;603250.341497;127143.073729
DAUM;67;603240.352356;127150.440720
DAUM;68;603235.482650;127154.186648
DAUM;69;603231.112401;127157.308254
DAUM;70;603221.248125;127164.425517
DAUM;71;603211.883305;127171.168187
DAUM;72;603206.763871;127174.914115
DAUM;73;603199.521744;127180.158413
DAUM;74;603192.903938;127185.152984
DAUM;75;603188.159096;127188.649183
DAUM;76;603173.425114;127199.387509
DAUM;77;603178.294820;127196.016174
DAUM;78;603168.430544;127203.008573
DAUM;79;603163.685702;127206.754500
DAUM;80;603154.071154;127213.497170
DAUM;81;603144.456606;127220.489569
DAUM;82;603139.212307;127224.235496
DAUM;83;603135.341515;127227.357103
DAUM;84;603130.471809;127230.853302
DAUM;85;603125.477239;127234.474366
DAUM;86;603120.482669;127238.095429
DAUM;87;603115.612963;127241.466764
DAUM;88;603110.368664;127245.337556
DAUM;89;603105.873550;127248.833755
DAUM;90;603101.003844;127252.329954
DAUM;91;603096.383867;127255.701289
DAUM;92;603087.019048;127262.443959
DAUM;93;603081.525020;127266.564480
DAUM;94;603076.655314;127269.935815
DAUM;95;603072.659658;127272.807693
DAUM;96;603068.039680;127276.179028
DAUM;97;603063.169974;127279.924955
DAUM;98;603058.425132;127283.296290
DAUM;99;603053.680291;127286.792490
DAUM;100;603044.690064;127293.160567
DAUM;101;603040.819272;127295.907580
DAUM;102;603032.578231;127302.025929
DAUM;103;603009.103751;127297.905409
