STREET,TB_number (in the street),TB_tree,TB_soil/grill
CHAR,9,Platanus x acerifolia,soil
CHAR,9,Platanus x acerifolia,soil
CHAR,9,Platanus x acerifolia,soil
CHAR,9,Platanus x acerifolia,soil
CHAR,10,Platanus x acerifolia,soil
CHAR,10,Platanus x acerifolia,soil
CHAR,10,Platanus x acerifolia,soil
CHAR,10,Platanus x acerifolia,soil
CHAR,10,Platanus x acerifolia,soil
CHAR,11,Platanus x acerifolia,soil
CHAR,11,Platanus x acerifolia,soil
CHAR,11,Platanus x acerifolia,soil
CHAR,11,Platanus x acerifolia,soil
CHAR,11,Platanus x acerifolia,soil
CHAR,12,Platanus x acerifolia,soil
CHAR,12,Platanus x acerifolia,soil
CHAR,12,Platanus x acerifolia,soil
CHAR,12,Platanus x acerifolia,soil
CHAR,12,Platanus x acerifolia,soil
CHAR,12,Platanus x acerifolia,soil
CHAR,13,Platanus x acerifolia,soil
CHAR,15,Platanus x acerifolia,soil
CHAR,15,Platanus x acerifolia,soil
CHAR,15,Platanus x acerifolia,soil
CHAR,16,Platanus x acerifolia,soil
CHAR,16,Platanus x acerifolia,soil
CHAR,16,Platanus x acerifolia,soil
CHAR,16,Platanus x acerifolia,soil
CHAR,17,Platanus x acerifolia,soil
CHAR,17,Platanus x acerifolia,soil
CHAR,18,Platanus x acerifolia,soil
CHAR,21,Platanus x acerifolia,soil
CHAR,21,Platanus x acerifolia,soil
CHAR,21,Platanus x acerifolia,soil
CHAR,22,Platanus x acerifolia,soil
CHAR,24,Platanus x acerifolia,soil
CHAR,25,Platanus x acerifolia,soil
CHAR,26,Platanus x acerifolia,soil
CHAR,28,Platanus x acerifolia,grill
CHAR,29,Platanus x acerifolia,grill
CHAR,33,Platanus x acerifolia,(na)
CHAR,34,Platanus x acerifolia,grill
CHAR,35,Platanus x acerifolia,grill
CHAR,38,Platanus x acerifolia,soil
CHAR,41,Platanus x acerifolia,soil
CHAR,42,Platanus x acerifolia,soil
CHAR,42,Platanus x acerifolia,soil
CHAR,45,Platanus x acerifolia,soil
CHAR,46,Platanus x acerifolia,soil
CHAR,47,Platanus x acerifolia,soil
CHAR,49,Platanus x acerifolia,soil
CHAR,68,Platanus x acerifolia,soil
CHAR,70,Platanus x acerifolia,soil
CHAR,72,Platanus x acerifolia,soil
CHAR,73,Platanus x acerifolia,soil
CHAR,74,Platanus x acerifolia,soil
CHAR,74,Platanus x acerifolia,soil
CHAR,75,Platanus x acerifolia,soil
CHAR,77,Platanus x acerifolia,soil
CHAR,77,Platanus x acerifolia,soil
CHAR,78,Platanus x acerifolia,soil
CHAR,79,Platanus x acerifolia,soil
CHAR,81,Platanus x acerifolia,soil
CHAR,81,Platanus x acerifolia,soil
CHAR,81,Platanus x acerifolia,soil
CHAR,82,Platanus x acerifolia,soil
CHAR,83,Platanus x acerifolia,soil
CHAR,83,Platanus x acerifolia,soil
CHAR,84,Platanus x acerifolia,soil
CHAR,84,Platanus x acerifolia,soil
CHAR,84,Platanus x acerifolia,soil
CHAR,85,Platanus x acerifolia,soil
CHAR,85,Platanus x acerifolia,soil
CHAR,85,Platanus x acerifolia,soil
CHAR,85,Platanus x acerifolia,soil
CHAR,86,Platanus x acerifolia,soil
CHAR,86,Platanus x acerifolia,soil
CHAR,86,Platanus x acerifolia,soil
CHAR,86,Platanus x acerifolia,soil
CHAR,86,Platanus x acerifolia,soil
CHAR,86,Platanus x acerifolia,soil
CHAR,86,Platanus x acerifolia,soil
CHAR,87,Platanus x acerifolia,soil
CHAR,87,Platanus x acerifolia,soil
